Date,Open,High,Low,Close,Adjusted_close,Volume
2022-06-06,147.03,148.57,144.9,146.14,145.9373,71598400
2022-06-07,144.35,149,144.1,148.71,148.5037,67808200
2022-06-08,148.58,149.87,147.46,147.96,147.7548,53950200
2022-06-09,147.08,147.95,142.53,142.64,142.4421,69473000
2022-06-10,140.28,140.76,137.06,137.13,136.9398,91437900
2022-06-13,132.87,135.2,131.44,131.88,131.6971,122207100
2022-06-14,133.13,133.89,131.48,132.76,132.5758,84784300
2022-06-15,134.29,137.34,132.16,135.43,135.2421,91533000
2022-06-16,132.08,132.39,129.04,130.06,129.8796,108123900
2022-06-17,130.07,133.08,129.81,131.56,131.3775,134520300
2022-06-21,133.42,137.06,133.32,135.87,135.6815,81000500
2022-06-22,134.79,137.76,133.91,135.35,135.1623,73409200
2022-06-23,136.82,138.59,135.63,138.27,138.0782,72433800
2022-06-24,139.9,141.91,139.77,141.66,141.4635,89116800
2022-06-27,142.7,143.49,140.97,141.66,141.4635,70207900
2022-06-28,142.13,143.42,137.32,137.44,137.2494,67083400
2022-06-29,137.46,140.67,136.67,139.23,139.0369,66242400
2022-06-30,137.25,138.37,133.77,136.72,136.5304,98964500
2022-07-01,136.04,139.04,135.66,138.93,138.7373,71051600
2022-07-05,137.77,141.61,136.93,141.56,141.3636,73353800
2022-07-06,141.35,144.12,141.08,142.92,142.7218,74064300
2022-07-07,143.29,146.55,143.28,146.35,146.147,66253700
2022-07-08,145.26,147.55,145,147.04,146.836,64547800
2022-07-11,145.67,146.64,143.78,144.87,144.669,63141600
2022-07-12,145.76,148.45,145.05,145.86,145.6577,77588800
2022-07-13,142.99,146.45,142.12,145.49,145.2882,71185600
2022-07-14,144.08,148.95,143.25,148.47,148.2641,78140700
2022-07-15,149.78,150.86,148.2,150.17,149.9617,76259900
2022-07-18,150.74,151.57,146.7,147.07,146.866,81420900
2022-07-19,147.92,151.23,146.91,151,150.7905,82982400
2022-07-20,151.12,153.72,150.37,153.04,152.8277,64823400
2022-07-21,154.5,155.57,151.94,155.35,155.1345,65086600
2022-07-22,155.39,156.28,153.41,154.09,153.8763,66675400
2022-07-25,154.01,155.04,152.28,152.95,152.7378,53623900
2022-07-26,152.26,153.09,150.8,151.6,151.3897,55138700
2022-07-27,152.58,157.33,152.16,156.79,156.5725,78620700
2022-07-28,156.98,157.64,154.41,157.35,157.1317,81378700
2022-07-29,161.24,163.63,159.5,162.51,162.2846,101786900
2022-08-01,161.01,163.59,160.89,161.51,161.286,67829400
2022-08-02,160.1,162.41,159.63,160.01,159.788,59907000
2022-08-03,160.84,166.59,160.75,166.13,165.8996,82507500
2022-08-04,166.01,167.19,164.43,165.81,165.58,55474100
2022-08-05,163.21,165.85,163,165.35,165.35,56697000
2022-08-08,166.37,167.81,164.2,164.87,164.87,60276900
2022-08-09,164.02,165.82,163.25,164.92,164.92,63135500
2022-08-10,167.68,169.34,166.9,169.24,169.24,70170500
2022-08-11,170.06,170.99,168.19,168.49,168.49,57149200
2022-08-12,169.82,172.17,169.4,172.1,172.1,68039400
2022-08-15,171.52,173.39,171.35,173.19,173.19,54091700
2022-08-16,172.78,173.71,171.66,173.03,173.03,56377100
2022-08-17,172.77,176.15,172.57,174.55,174.55,79542000
2022-08-18,173.75,174.9,173.12,174.15,174.15,62290100
2022-08-19,173.03,173.74,171.31,171.52,171.52,70346300
2022-08-22,169.69,169.86,167.14,167.57,167.57,69026800
2022-08-23,167.08,168.71,166.65,167.23,167.23,54147100
2022-08-24,167.32,168.11,166.25,167.53,167.53,53841500
2022-08-25,168.78,170.14,168.35,170.03,170.03,51218200
2022-08-26,170.57,171.05,163.56,163.62,163.62,78961000
2022-08-29,161.15,162.9,159.82,161.38,161.38,73314000
2022-08-30,162.13,162.56,157.72,158.91,158.91,77906200
2022-08-31,160.31,160.58,157.14,157.22,157.22,87991100
2022-09-01,156.64,158.42,154.67,157.96,157.96,74229900
2022-09-02,159.75,160.36,154.97,155.81,155.81,76905200
2022-09-06,156.47,157.09,153.69,154.53,154.53,73714800
2022-09-07,154.82,156.67,153.61,155.96,155.96,87449600
2022-09-08,154.64,156.36,152.68,154.46,154.46,84923800
2022-09-09,155.47,157.82,154.75,157.37,157.37,68028800
